,,,,,Synonyms in Software Tools,,,,,https://rdrr.io/bioc/CAMERA/man/ruleSet-class.html,,,,,,
metabolomicsUtils name,in R?,Charge,Calculation,Definition,SIRIUS,MetFrag,mzMine,MassBank,enviPat,CAMERA,GNPS,Agilent,Waters,Bruker MetaboScape,Damont et al,Others
,,,,,,,,,,[M+H+NH3]+,,,,,,
,,,,,,,,,,[M+K+CF3COOH]+,,,,,,
,,,,,,,,,,[M+K+HCOOH]+,,,,,,
,,,,,,,,,,[M+K+NaCOOH]+,,,,,,
,,,,,,,,,,[M+K+NH3]+,,,,,,
,,,,,,,,,,[M+Na+2K-H]2+,,,,,,
,,,,,,,,,,[M+Na+2K]3+,,,,,,
,,,,,,,,,,[M+Na+3K-H]3+,,,,,,
,,,,,,,,,,[M+Na+CF3COOH]+,,,,,,
,,,,,,,,,,[M+Na+HCOOH]+,,,,,,
,,,,,,,,,,[M+Na+K-H]+,,,,,,
,,,,,,,,,,[M+Na+K]2+,,,,,,
,,,,,,,,,,[M+Na+NaCOOH]+,,,,,,
,,,,,,,,,,[M+Na+NH3]+,,,,,,
